operator,angle_deg,sector_mod15,unigram_count
A,235.1705518287161,9,6636436
AR,158.38685761943748,6,813861
B,95.63869574465929,3,1260019
BS,112.27000418810405,4,21534
C,247.9871167554652,10,2661698
CR,209.89311340954418,8,113960
D,310.71672708503235,12,3387168
E,314.83875528978524,13,10596065
F,49.839460220863884,2,1927894
G,316.04683095836066,13,1706410
GH,129.14692050583835,5,164494
H,215.1043566006099,8,1256059
HI,325.33399255948035,13,289849
I,4.883298113187209,0,5471358
IL,55.47790673737859,2,324784
ION,237.35111898091367,9,379463
IX,187.84002738883555,7,13809
J,349.62036204201655,14,176599
K,205.28467642139174,8,670504
L,143.0929890535562,5,2914686
LT,168.33535403691826,7,68921
M,57.40113688159545,2,2098414
N,333.9942577833323,13,5911760
O,81.57498207991432,3,5877974
OL,167.79088199042644,6,241982
P,171.3595102832253,7,1536533
PH,122.65307677009235,5,38154
PR,177.35283674203583,7,284587
Q,237.53684258591124,9,90105
R,12.965913447537048,0,4025583
RS,320.50618822758463,13,281514
S,216.01325913036914,9,4216296
SH,225.91746712026753,9,243254
ST,23.84641316097617,0,682337
T,323.6744260111074,13,4928214
TH,38.798181645544275,1,2250848
U,158.77250985359592,6,2047508
US,67.80289608699059,2,293766
V,353.58562608989746,14,965087
W,64.50108089748005,2,1591169
X,302.5032007903706,12,150622
Y,118.85854879809506,4,1491453
Z,305.0035711634136,12,68104
