operator,angle_deg,sector_mod15,unigram_count
A,341.1688684872281,14,6372945
AR,53.189545308504876,2,815750
B,141.4615470486042,5,1300534
BS,124.88858902006359,5,30746
C,336.99673474972224,14,2863087
CR,3.564524475187909,0,103616
D,265.88014826426047,11,3286012
E,271.1190299868215,11,10734092
F,169.07166504140764,7,2010158
G,259.2818770601625,10,1648114
GH,78.66771553559505,3,160965
H,10.900884503137092,0,1164988
HI,283.37419962429817,11,229434
I,256.22799639214736,10,5432832
IL,158.60489304994815,6,360530
ION,340.9240446652889,14,408607
IX,20.3471927338,0,12584
J,198.3702597964044,8,131531
K,26.98027880648567,1,645973
L,71.1660851870954,2,3101019
LT,74.18420772979073,3,74128
M,162.30151248811728,6,2076677
N,245.05008330399085,10,5869861
O,135.71080198170512,5,6301127
OL,39.17438117264635,1,225093
P,44.57918293500927,1,1615308
PH,27.4986832274451,1,37764
PR,58.52910353823978,2,336266
Q,330.00886495413647,13,96549
R,190.5621142637866,7,4204153
RS,273.45438338966994,11,288986
S,354.6551202897132,14,4218853
SH,351.26480725125316,14,195070
ST,239.43511755317616,9,627815
T,243.145054985231,10,4972310
TH,193.54602936336153,8,2132416
U,71.19351378527585,2,2315399
US,159.69677348999676,6,335914
V,219.6680930052903,9,1044848
W,154.68936588924237,6,1620448
X,285.5939248539212,11,181280
Y,112.51662858559405,4,1676978
Z,320.99673870135257,13,37276
