operator,angle_deg,sector_mod15,unigram_count
A,134.59916555456334,5,7124272
AR,105.57157204088179,4,910106
B,97.71691445495833,4,1391919
BS,142.56938031720028,5,33559
C,250.34770856293335,10,3227311
CR,205.43423899343907,8,129675
D,313.6749561406056,13,3709065
E,319.36513514245814,13,11898854
F,73.13171221605353,3,2182655
G,303.83063821361304,12,1644398
GH,186.13172796710353,7,162303
H,208.32024680465793,8,1135359
HI,255.77519830578893,10,346937
I,322.0128758828934,13,6085222
IL,77.47989697112223,3,298099
ION,219.22832750287017,9,566454
IX,157.8303680602827,6,17679
J,4.690616072125977,0,149285
K,203.5804631607184,8,492950
L,96.06252642803923,4,3276445
LT,171.2151005650203,7,91540
M,81.90564482588388,3,2473726
N,313.13637765137753,13,6429609
O,109.10417176774502,4,6261846
OL,162.14639697607026,6,279395
P,142.47880832959777,5,1635533
PH,117.59745842619134,4,74381
PR,168.41922347599018,7,343157
Q,265.1481364797021,11,104831
R,8.892607525400763,0,4595717
RS,298.9704773064373,12,300620
S,215.42313016828996,8,4840682
SH,221.9969512552483,9,189873
ST,31.941386169222824,1,714954
T,247.49144210060894,10,5328705
TH,34.30827051758604,1,2606276
U,190.14717643207314,7,2170549
US,75.01184415759457,3,363605
V,335.66661283400435,13,1043881
W,98.16836327086662,4,1528582
X,303.55521761180535,12,197523
Y,75.00743548710227,3,1494998
Z,329.16215486239975,13,95098
