src,dst,count
U,N,4840925
N,D,6823558
E,I,12379369
I,N,10600868
N,E,5749475
S,E,6896456
D,I,2820402
I,E,6979721
Z,U,2254666
W,E,3416657
E,R,15524352
R,D,1652059
D,E,5481469
E,N,20070847
S,I,3043629
V,O,2251391
O,N,2774160
H,A,2450322
A,B,2136644
B,E,6950035
N,I,2241054
I,CH,5572251
CH,T,2327486
M,I,1807982
I,T,3725697
A,U,4098317
U,F,1536570
E,S,3102243
D,A,1906800
A,S,1693481
S,S,3248720
I,M,1234239
A,L,2714213
L,S,859922
F,UE,979295
UE,R,1105212
A,N,4484721
U,CH,943809
I,H,540229
H,R,1835682
W,I,2146731
K,O,1389007
O,E,1625665
N,N,1956995
S,O,1702396
I,R,917855
U,S,1931032
N,A,1708267
A,CH,1230153
L,L,2373128
L,E,3655973
M,A,1949020
N,U,775786
U,R,1703344
N,O,650781
O,CH,682201
O,D,508704
D,U,927999
R,CH,539643
UE,B,743092
U,M,1140774
M,UE,334199
UE,S,290759
O,R,2179273
A,M,1165236
S,A,1211270
A,G,1192473
G,E,5855404
K,E,1535805
W,A,1286776
O,M,790198
M,M,1096802
M,E,2641001
O,L,1491981
E,H,2611049
H,E,2635425
E,B,1157133
G,R,821967
R,O,1097413
O,S,617968
G,A,661998
N,Z,753462
W,O,692616
R,ST,581965
N,T,2162198
T,E,3543663
CH,E,1346828
G,U,460366
U,T,1070688
SCH,O,251234
D,O,464740
B,I,722491
I,S,1519905
L,A,2089102
E,D,1205454
J,A,411455
A,H,854981
E,U,1213973
N,S,835802
R,E,4370583
T,SCH,479263
J,E,515508
E,G,1766861
ST,E,1380774
H,I,749990
Z,E,971977
V,I,418936
E,L,2987820
L,B,387190
B,ST,198488
Z,W,409482
I,SCH,1204681
SCH,E,653508
E,TZ,505337
TZ,T,199137
R,N,1042453
O,H,421907
H,N,438834
N,SCH,367506
H,M,394033
I,D,566914
F,I,357320
T,S,534897
L,CH,189327
R,R,465133
BL,E,172234
I,B,306809
K,L,562937
A,LT,606099
E,T,1423767
T,W,355845
L,I,3149396
T,A,838142
F,R,872714
R,A,2505731
I,L,1138180
H,O,624392
N,M,177960
LT,E,395545
B,R,613752
R,I,2010864
I,NG,517131
NG,E,792313
G,L,567358
E,CH,834168
D,UE,114196
R,F,516935
F,E,1361066
O,B,327121
T,U,568500
A,E,2308547
UE,H,421354
K,I,215437
G,I,412005
R,U,1300231
U,NG,2600250
SP,R,328755
ST,A,898600
A,A,220287
A,T,1459267
E,LT,297654
N,K,653184
I,G,2196674
R,T,1563680
A,NG,608354
SCH,L,533684
H,L,509030
M,O,518016
P,O,339997
T,I,1797220
SP,A,147668
L,K,187559
A,R,2127686
