src,dst,count
TH,E,4787130
A,N,4327367
N,D,2883182
O,F,1945404
T,O,2343756
I,N,5522900
I,S,1631102
F,O,1138282
O,R,2774667
TH,A,619407
A,T,2884574
O,N,2262635
W,I,772242
I,TH,577604
A,S,1697719
W,A,723114
I,T,1831376
AR,E,587213
B,E,1229059
B,Y,345320
F,R,497216
R,O,1005331
O,M,1263474
TH,I,464483
H,A,1050660
A,V,501423
V,E,1920428
Y,O,480331
O,U,1888452
H,E,966405
HI,S,203451
N,O,746912
O,T,589967
W,IL,216541
IL,L,390782
W,E,843921
E,I,383408
I,R,599593
B,U,368189
U,T,772444
E,Y,309587
C,A,1077177
W,HI,244608
HI,C,180223
C,H,1053557
E,R,3752760
R,E,3017810
A,L,2296650
L,S,344643
S,O,730238
U,R,1223837
L,L,869035
N,E,1466916
E,E,840240
E,N,2964628
M,O,722694
A,D,791725
S,A,454446
A,I,684888
I,D,736570
T,S,739544
W,H,438466
H,O,579624
I,F,385478
E,W,284598
A,F,234468
F,T,224274
T,E,2287501
A,B,452826
B,O,424330
O,TH,237768
U,P,324225
T,I,1289456
I,M,560449
M,E,1670318
W,O,493503
U,L,517057
L,D,343152
F,I,601565
I,RS,102032
RS,T,117504
N,T,2147308
T,W,175235
P,E,1024093
E,O,163859
O,P,534319
P,L,658128
L,E,1692039
O,V,479824
E,S,2469458
S,E,1529514
SH,E,149587
M,A,1062948
A,Y,608173
O,ST,189582
N,L,129370
L,Y,822842
N,Y,228474
E,M,739127
Y,E,253608
E,AR,395516
AR,S,111075
D,U,311557
R,I,1167549
N,G,2453784
D,O,375905
R,K,176566
J,US,72771
US,T,211038
S,U,581928
U,C,353180
O,W,753527
M,Y,100875
L,I,1063196
I,K,108592
K,E,567039
US,E,285843
E,D,2579996
HI,L,119845
C,O,1654347
TH,R,143267
U,GH,189737
A,K,277035
D,E,1655833
E,T,817277
E,F,317884
E,L,1112271
R,Y,378595
E,V,561839
G,E,901392
L,A,958772
A,ST,218628
HI,M,58240
D,A,413746
E,C,1002633
A,US,88693
TH,O,157919
O,S,411378
B,A,345583
A,C,955359
C,K,352547
P,AR,278264
AR,T,308260
E,A,1253195
AR,O,47059
U,N,938344
T,A,748353
SH,O,171471
R,L,91292
M,U,152618
P,P,290323
P,O,676929
R,T,470820
L,P,64746
S,I,822369
N,C,824973
C,E,1417368
N,U,189785
U,M,278420
M,B,221465
C,L,379857
L,U,212513
U,D,216001
D,I,999751
C,I,558593
T,Y,446765
