operator,angle_deg,sector_mod15,unigram_count
A,38.32479419373857,1,30356850
B,270.09206489036353,11,10690931
BL,281.01278479110056,11,527489
C,242.02034645627884,10,1133238
CH,82.77626010200879,3,10326064
D,119.29628294783566,4,17993459
E,115.43081059566993,4,81810200
ECK,133.07331591124557,5,197274
F,210.11748701003648,8,8427924
G,122.66001507128146,5,11105124
H,104.08737503901023,4,10146944
I,86.70375045399476,3,41139706
IEG,285.0613949269018,11,277188
J,146.22879643236445,6,1200996
K,248.17714028081355,10,6680644
KR,309.478741437429,12,501129
L,265.57703488546247,11,18107435
LT,330.82059961214475,13,1064565
M,331.8069415999125,13,12160580
N,90.28763232365395,3,51100950
NG,126.47794672251496,5,4050465
O,286.99159496661,11,14521336
P,322.40526674965656,13,2933016
PF,324.75696799968614,13,383591
Q,261.0354764377713,10,4747
QU,113.49566978212056,4,109376
R,151.8275682761955,6,33079324
S,307.96190045730964,12,23620985
SCH,115.05687348312915,4,4726158
SP,119.78681300888093,4,816079
ST,129.82980984164135,5,4769402
T,109.34625576675842,4,18856129
TZ,153.43354869159066,6,1024912
U,131.72696840430729,5,19833420
UE,213.82641569127713,8,3791671
V,319.6088613760181,13,4866364
W,121.02424496267798,5,7920118
X,300.88438505548805,12,205161
Y,308.3423061457356,12,420340
Z,274.2413891693243,11,5260966
