operator,angle_deg,sector_mod15,unigram_count
A,168.9222177198875,7,20347366
AR,87.55598447289105,3,2568187
B,25.404248015988344,1,4010529
BS,49.515474418492715,2,87711
C,180.9416387116516,7,8853367
CR,147.80017809494137,6,354178
D,247.77348344112215,10,10484490
E,245.91126781774472,10,33514009
F,348.6357280682833,14,6158993
G,251.70479137244308,10,5072647
GH,98.8397844710351,4,491769
H,144.89005968367331,6,3594692
HI,243.1041049258505,10,872304
I,264.0866843738048,11,17179833
IL,358.26672179058403,14,995468
ION,171.24248564552357,7,1364742
IX,125.02419354821444,5,44698
J,303.32601647082737,12,465034
K,136.91826244038407,5,1843921
L,71.94587632228894,2,9415829
LT,96.44365025309543,4,237467
M,0.0387559455782025,0,6732816
N,266.39560179016513,11,18393617
O,21.898647460858683,0,18591639
OL,106.02705142344206,4,758767
P,104.5650954036733,4,4846141
PH,84.8948454904218,3,154914
PR,108.53029540003905,4,971706
Q,182.4172467937787,7,296289
R,315.48640939956545,13,12969431
RS,238.14791733216214,9,885372
S,156.8994309110534,6,13427790
SH,164.83100192093855,6,638098
ST,319.07377118402394,13,2048925
T,248.7152155938477,10,15360428
TH,327.75912641904836,13,7000191
U,102.47738476440861,4,6608422
US,357.8554336387315,14,1004069
V,289.14270845332834,12,3082655
W,3.5923757425707663,0,4769390
X,232.64619504605912,9,536129
Y,43.64740268357889,1,4709628
Z,234.36995597375477,9,211653
